Ref_Date,GEO,VIEWER,CONTENT,PROGRAMME,Vector,Coordinate,Value
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
